2024-11-15 18:27:54 [info]: GET /api/user/pruebas 200 - 4ms
2024-11-15 18:28:43 [info]: GET /api/user/pruebas 200 - 4ms (::1)
2024-11-15 18:28:45 [info]: GET /api/user/pruebas 200 - 0ms (::1)
2024-11-15 23:54:56 [info]: POST /api/user/login 200 - 573ms (::ffff:127.0.0.1)
2024-11-15 23:54:56 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade34 200 - 8ms (::ffff:127.0.0.1)
2024-11-15 23:54:56 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade44 200 - 11ms (::ffff:127.0.0.1)
2024-11-15 23:54:56 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade12s 200 - 1ms (::ffff:127.0.0.1)
2024-11-15 23:54:56 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade12 200 - 1ms (::ffff:127.0.0.1)
2024-11-15 23:54:56 [info]: GET /api/inhabitant/list 200 - 21ms (::ffff:127.0.0.1)
2024-11-15 23:54:56 [info]: GET /api/inhabitant/list 200 - 5ms (::ffff:127.0.0.1)
2024-11-15 23:54:56 [info]: GET /api/inhabitant/list 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: GET /api/inhabitant/list/specie/670f930a96f295c8503ade41 200 - 8ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: GET /api/inhabitant/list/specie/670f930a96f295c8503ade41 200 - 7ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: GET /api/inhabitant/list/specie/670f930a96f295c8503ade41 200 - 4ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12 200 - 33ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade45 200 - 12ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12d 200 - 1ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: POST /api/inhabitant/create 200 - 10ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: POST /api/inhabitant/create 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: POST /api/inhabitant/create 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414211 200 - 5ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414220 200 - 7ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12dss 200 - 0ms (::ffff:127.0.0.1)
2024-11-15 23:54:57 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414220 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: POST /api/user/login 200 - 477ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: GET /api/specie/specie/670f930a96f295c8503ade34 200 - 4ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: GET /api/specie/specie/670f930a96f295c8503ade44 200 - 5ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: GET /api/specie/specie/670f930a96f295c8503ade12s 200 - 1ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: GET /api/specie/specie/670f930a96f295c8503ade12 200 - 4ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: GET /api/specie/list 200 - 5ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: GET /api/specie/list 200 - 4ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: GET /api/specie/list 200 - 4ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: PUT /api/specie/update/670f930a96f295c8503ade12 200 - 12ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: PUT /api/specie/update/670f930a96f295c8503ade45 200 - 10ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: PUT /api/specie/update/670f930a96f295c8503ade12d 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: PUT /api/specie/update/670f930a96f295c8503ade12 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: POST /api/specie/create 200 - 6ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: POST /api/specie/create 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: POST /api/specie/create 200 - 4ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: POST /api/specie/create 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414211 200 - 5ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414220 200 - 6ms (::ffff:127.0.0.1)
2024-11-15 23:54:58 [info]: PUT /api/specie/update/670f930a96f295c8503ade12dss 200 - 0ms (::ffff:127.0.0.1)
2024-11-15 23:54:59 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414220 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:54:59 [info]: POST /api/user/login 200 - 424ms (::ffff:127.0.0.1)
2024-11-15 23:54:59 [info]: GET /api/user/user/670f930a96f295c8503ade12 200 - 5ms (::ffff:127.0.0.1)
2024-11-15 23:55:00 [info]: GET /api/user/user/670f930a96f295c8503ade1e 200 - 8ms (::ffff:127.0.0.1)
2024-11-15 23:55:00 [info]: GET /api/user/user/670f930a96f295c8503ade12d 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:55:00 [info]: GET /api/user/user/670f930a96f295c8503ade12 200 - 5ms (::ffff:127.0.0.1)
2024-11-15 23:55:00 [info]: GET /api/user/list 200 - 12ms (::ffff:127.0.0.1)
2024-11-15 23:55:00 [info]: GET /api/user/list 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:55:00 [info]: GET /api/user/list 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: POST /api/user/login 200 - 476ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 13ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 0ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: PUT /api/user/update/670f930a96f295c8503ade12d 200 - 1ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: POST /api/user/register 200 - 452ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: POST /api/user/register 200 - 4ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: POST /api/user/register 200 - 1ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: POST /api/user/register 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414211 200 - 13ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414220 200 - 8ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: PUT /api/user/update/670f930a96f295c8503ade12dss 200 - 1ms (::ffff:127.0.0.1)
2024-11-15 23:55:01 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414220 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:55:02 [info]: POST /api/user/login/ 200 - 227ms (::ffff:127.0.0.1)
2024-11-15 23:55:02 [info]: POST /api/user/login/ 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:55:02 [info]: POST /api/user/login/ 200 - 241ms (::ffff:127.0.0.1)
2024-11-15 23:55:02 [info]: POST /api/user/login/ 200 - 1ms (::ffff:127.0.0.1)
2024-11-15 23:55:03 [info]: POST /api/user/login 200 - 297ms (::ffff:127.0.0.1)
2024-11-15 23:55:03 [info]: GET /api/zone/zone/670f930a96f295c8503ade34 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:55:03 [info]: GET /api/zone/zone/670f930a96f295c8503ade44 200 - 6ms (::ffff:127.0.0.1)
2024-11-15 23:55:03 [info]: GET /api/zone/zone/670f930a96f295c8503ade12s 200 - 0ms (::ffff:127.0.0.1)
2024-11-15 23:55:03 [info]: GET /api/zone/zone/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-11-15 23:55:03 [info]: GET /api/zone/list 200 - 3ms (::ffff:127.0.0.1)
2024-11-15 23:55:03 [info]: GET /api/zone/list 200 - 5ms (::ffff:127.0.0.1)
2024-11-15 23:55:03 [info]: GET /api/zone/list 200 - 2ms (::ffff:127.0.0.1)
