2024-12-01 23:32:14 [info]: POST /api/user/register 200 - 575ms (::1)
2024-12-01 23:41:21 [info]: POST /api/user/login 200 - 322ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade34 200 - 12ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade44 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade12s 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/list 200 - 34ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/list 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/listBySpecie/670f930a96f295c8503ade41 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/listBySpecie/670f930a96f295c8503ade41 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: GET /api/inhabitant/listBySpecie/670f930a96f295c8503ade41 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12 200 - 32ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade45 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12d 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: POST /api/inhabitant/create 200 - 6ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: POST /api/inhabitant/create 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: POST /api/inhabitant/create 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414211 200 - 8ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414220 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12dss 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:21 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414220 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: POST /api/user/login 200 - 293ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: GET /api/specie/specie/670f930a96f295c8503ade34 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: GET /api/specie/specie/670f930a96f295c8503ade44 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: GET /api/specie/specie/670f930a96f295c8503ade12s 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: GET /api/specie/specie/670f930a96f295c8503ade12 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: GET /api/specie/list 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: GET /api/specie/list 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: GET /api/specie/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: PUT /api/specie/update/670f930a96f295c8503ade12 200 - 7ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: PUT /api/specie/update/670f930a96f295c8503ade45 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: PUT /api/specie/update/670f930a96f295c8503ade12d 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: PUT /api/specie/update/670f930a96f295c8503ade12 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: POST /api/specie/create 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: POST /api/specie/create 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: POST /api/specie/create 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: POST /api/specie/create 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414211 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414220 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: PUT /api/specie/update/670f930a96f295c8503ade12dss 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:41:22 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414220 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:23 [info]: POST /api/user/login 200 - 300ms (::ffff:127.0.0.1)
2024-12-01 23:41:23 [info]: GET /api/user/user/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:23 [info]: GET /api/user/user/670f930a96f295c8503ade1e 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:23 [info]: GET /api/user/user/670f930a96f295c8503ade12d 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:23 [info]: GET /api/user/user/670f930a96f295c8503ade12 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:23 [info]: GET /api/user/list 200 - 28ms (::ffff:127.0.0.1)
2024-12-01 23:41:23 [info]: GET /api/user/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:23 [info]: GET /api/user/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: POST /api/user/login 200 - 301ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 25ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: PUT /api/user/update/670f930a96f295c8503ade12d 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: POST /api/user/register 200 - 316ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: POST /api/user/register 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: POST /api/user/register 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: POST /api/user/register 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414211 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414220 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: PUT /api/user/update/670f930a96f295c8503ade12dss 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:24 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414220 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:25 [info]: POST /api/user/login/ 200 - 305ms (::ffff:127.0.0.1)
2024-12-01 23:41:25 [info]: POST /api/user/login/ 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:25 [info]: POST /api/user/login/ 200 - 300ms (::ffff:127.0.0.1)
2024-12-01 23:41:25 [info]: POST /api/user/login/ 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: POST /api/user/login 200 - 301ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: GET /api/zone/zone/670f930a96f295c8503ade34 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: GET /api/zone/zone/670f930a96f295c8503ade44 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: GET /api/zone/zone/670f930a96f295c8503ade12s 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: GET /api/zone/zone/670f930a96f295c8503ade12 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: GET /api/zone/list 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: GET /api/zone/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: GET /api/zone/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: PUT /api/zone/update/670f930a96f295c8503ade12 200 - 6ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: PUT /api/zone/update/670f930a96f295c8503ade45 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: PUT /api/zone/update/670f930a96f295c8503ade12d 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: PUT /api/zone/update/670f930a96f295c8503ade12 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: POST /api/zone/create 200 - 26ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: POST /api/zone/create 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: POST /api/zone/create 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: POST /api/zone/create 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: DELETE /api/zone/delete/672d3811d845bd7eb8414211 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: DELETE /api/zone/delete/672d3811d845bd7eb8414220 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: PUT /api/zone/update/670f930a96f295c8503ade12dss 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:41:26 [info]: DELETE /api/zone/delete/672d3811d845bd7eb8414220 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: POST /api/user/login 200 - 336ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade34 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade44 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade12s 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/inhabitant/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/list 200 - 6ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/list 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/listBySpecie/670f930a96f295c8503ade41 200 - 6ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/listBySpecie/670f930a96f295c8503ade41 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: GET /api/inhabitant/listBySpecie/670f930a96f295c8503ade41 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12 200 - 12ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade45 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12d 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: POST /api/inhabitant/create 200 - 6ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: POST /api/inhabitant/create 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: POST /api/inhabitant/create 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:54 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414211 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414220 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: PUT /api/inhabitant/update/670f930a96f295c8503ade12dss 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: DELETE /api/inhabitant/delete/672d3811d845bd7eb8414220 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: POST /api/user/login 200 - 300ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: GET /api/specie/specie/670f930a96f295c8503ade34 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: GET /api/specie/specie/670f930a96f295c8503ade44 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: GET /api/specie/specie/670f930a96f295c8503ade12s 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: GET /api/specie/specie/670f930a96f295c8503ade12 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: GET /api/specie/list 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: GET /api/specie/list 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: GET /api/specie/list 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: PUT /api/specie/update/670f930a96f295c8503ade12 200 - 8ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: PUT /api/specie/update/670f930a96f295c8503ade45 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: PUT /api/specie/update/670f930a96f295c8503ade12d 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: PUT /api/specie/update/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: POST /api/specie/create 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: POST /api/specie/create 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: POST /api/specie/create 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: POST /api/specie/create 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:43:55 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414211 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:43:56 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414220 200 - 2ms (::ffff:127.0.0.1)
